ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	Chinese (Taiwan)	Indonesian	Persian	Hebrew
MMI-0001	동의함								Confirm																								पुष्टि करें	নিশ্চিত করুন	पुष्टी करा	నిర్ధారించండి	உறுதி செய்யவும்	પૃષ્ટિ કરો	ದೃಢೀಕರಿಸಿ	ସୁନିଶ୍ଚିତ	സ്ഥിരീകരിക്കുക	ਪੁਸ਼ਟੀ ਕਰੋ				
MMI-0002	언어/Language								Language																								भाषा/Language	ভাষা/Language	भाषा/Language	భాష/Language	மொழி/Language	ભાષા/Language	ಭಾಷೆ/Language	ଭାଷା/Language	ഭാഷ/Language	ਭਾਸ਼ਾ/Language				
MMI-0003	설정								Settings																								सेटिंग्स	সেটিংস	सेटिंग्ज	సెట్టింగ్‌లు	அமைப்புகள்	સેટિંગ્સ	ಸೆಟ್ಟಿಂಗ್‌ಗಳು	ସେଟିଂସ୍	ക്രമീകരണങ്ങൾ	ਸੈਟਿੰਗਾਂ				
MMI-0004	사운드								Sound																								ध्वनि	শব্দ	ध्वनी	సౌండ్	ஒலி	ધ્વનિ	ಸೌಂಡ್	ଧ୍ୱନି	ശബ്ദം	ਧੁਨੀ				
MMI-0005	고급 음향								Premium sound																								प्रीमियम ध्वनि	প্রিমিয়াম সাউন্ড	प्रीमियम ध्वनी	ప్రీమియం సౌండ్	பிரீமியம் ஒலி	પ્રીમિયમ ધ્વનિ	ಪ್ರೀಮಿಯಂ ಸೌಂಡ್	ପ୍ରିମିୟମ୍ ଧ୍ୱନି	പ്രീമിയം ശബ്ദം	ਪ੍ਰੀਮੀਅਮ ਧੁਨੀ				
MMI-0006	오디오 음량 자동 줄이기								Volume limitation on start-up																								स्टार्ट अप पर वॉल्यूम सीमा	স্টার্ট-আপে ভলিউমের সীমাবদ্ধতা	स्टार्ट-अपलाच व्हॉल्यूमची मर्यादा	స్టార్ట్-అప్‌లో వాల్యూం పరిమితి	தொடக்கத்தின் போதான ஒலி வரம்பு	ચાલુ કરવા પર વોલ્યુમની મર્યાદા	ಸ್ಟಾರ್ಟಪ್‌ನಲ್ಲಿ ವಾಲ್ಯೂಮ್‌ ಮಿತಿ	ଷ୍ଟାର୍ଟ-ଅପରେ ଭଲ୍ୟୁମ୍ ସୀମା	ആരംഭത്തിലെ വോളിയം പരിമിതി	ਸ਼ੁਰੂ ਹੋਣ ਉੱਤੇ ਵੌਲਿਉਮ ਸੀਮਾ				
MMI-0007	홈 아이콘 편집								Edit Home icons																								होम आइकॉन संपादित करें	হোম আইক্কনগুলি সম্পাদন করুন	मुख्यपृष्ठ आयकॉन संपादित करा	హోమ్ ఐకాన్‌లను ఎడిట్ చేయండి	முகப்பு ஐகான்களைத் திருத்தவும்	હોમ ચિહનો સંપાદિત કરો	ಹೋಮ್ ಐಕಾನ್‌ಗಳನ್ನು ಎಡಿಟ್ ಮಾಡಿ	ହୋମ୍ ଆଇକନଗୁଡିକ ସମ୍ପାଦନ କରନ୍ତୁ	ഹോം ഐക്കണുകൾ എഡിറ്റ് ചെയ്യുക	ਹੋਮ ਆਈਕਨ੍ਜ਼ ਦਾ ਸੰਪਾਦਨ ਕਰੋ				
MMI-0008	초기화								Default																								डिफ़ॉल्ट	ডিফল্ট	डीफॉल्ट	డిఫాల్ట్	இயல்புநிலை	ડિફોલ્ટ	ಡೀಫಾಲ್ಟ್	ଡିଫଲ୍ଟ	ഡിഫോൾട്ട്	ਡਿਫ਼ੌਲਟ				
MMI-0009	분할 화면								Split screen																								स्क्रीन विभाजित करें	স্প্লিট স্ক্রিন	स्प्लिट स्क्रीन	స్ల్పిట్ స్క్రీన్	பிளவுத் திரை	સ્પ્લિટ સ્ક્રીન	ಸ್ಪ್ಲಿಟ್ ಸ್ಕ್ರೀನ್	ସ୍ପ୍ଲିଟ୍ ସ୍କ୍ରିନ୍	സ്പ്ലിറ്റ് സ്ക്രീന്‍	ਸਪਲਿਟ ਸਕ੍ਰੀਨ				
MMI-0010	시작								Start																								स्टार्ट करें	শুরু করুন	सुरू करा	ప్రారంభించండి	தொடங்கவும்.	શરૂ કરો	ಆರಂಭ	ଆରମ୍ଭ କରନ୍ତୁ	ആരംഭിക്കുക	ਸ਼ੁਰੂ ਕਰੋ				
MMI-0011	건너뛰기								Skip																								छोड़ें	স্কিপ	वगळा	దాటవేయండి	தவிர்	અવગણો	ಸ್ಕಿಪ್ ಮಾಡಿ	ସ୍କିପ୍ କରନ୍ତୁ	സ്കിപ് ചെയ്യുക	ਛੱਡੋ				
MMI-0012	다음								Next																								अगला	পরবর্তী	पुढे	నెక్ట్స్	அடுத்து	આગળનું	ಮುಂದಿನದು	ପରବର୍ତ୍ତୀ	അടുത്തത്	ਅਗਲਾ				
MMI-0013	이름 변경								Rename																								नाम बदलें	নতুন নামকরণ (রিনেম)	नाव बदला	పేరు మార్చు	திருத்தவும்.	નામ બદલો	ಮರುಹೆಸರಿಸಿ	ନାମ ପରିବର୍ତ୍ତନ କରନ୍ତୁ	പേര് മാറ്റുക	ਨਾਮ ਬਦਲੋ				
MMI-0014	지도 고정 2D								2D north up																								2D नॉर्थ अप	উপরে 2D উত্তর	2D उत्तर दिशेने	2D నార్త్ అప్	2D வட புறமாக	2D ઉત્તર તરફ	2D ಉತ್ತರಕ್ಕೆ	2D ଉତ୍ତର ଉପରକୁ	2D നോർത്ത് അപ്പ്	2D ਨੋਰਥ ਅੱਪ				
MMI-0015	주행 방향 2D								2D heading up																								2D हेडिंग अप	2D শিরনা উপরে	2D वरील बाजुस	2D హెడింగ్ అప్	2D முன் புறமாக	2D ઉપર તરફ આગળ	2D ಮೇಲಕ್ಕೆ	2D ମଣ୍ଡୁ ଉପରକୁ	2D ഹെഡ്ഡിംഗ് അപ്പ്	2D ਹੈਡਿੰਗ ਅੱਪ				
